date;newborns;birth deaths;fertility rate;life expectancy;rural population;urban population;workers;unemployed;overweight;population density;housing expenditure;health expenditure;food expenditure;transportation expenditure;education expenditure;leisure expenditure;electricity access;electricity consumption;co2 emissions;broadband subscriptions;mobile subscriptions;manufacturing value added;high-tech value added;r and d spend;cereal yield;imports of goods and services;exports of goods and services;energy imports;high-tech exports;food exports;services trade;trade;gni;household consumption expenditure;bank capital to assets ratio;bank nonperforming loans;lending interest rate;real interest rate;gross domestic savings;broad money;government debt;government interest payments external debt;government tax revenue;government debt service;gdp;gni;inflation;listed companies;Population, total;population
1960-01-01;425599.2946655157;337240.9387800487;4.667017777777779;45.26734666666664;8890042.021444356;4505465.160777866;310470.6666666667;18331.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;239.47356696586422;1.3977749080387152;0.0;0.0;37.6701152600449;0.0;0.0;0.0;334.96280408404334;333.78406979105193;0.05166475902766678;0.0;0.0;121442632.40686986;9938127515.166582;255.31739341654358;238.89798125504228;0.0;0.0;0.0018589444444148148;0.0;4840668046.01297;13512769862.65307;0.0;0.0;0.0;0.0;40114821575.228935;3875609304.2158337;0.0;0.0;13399735.08888889;13399735.08888889
1960-02-01;425266.358568912;337086.4736820069;4.667571481481483;45.326817687443516;8894251.00166658;4516342.262037125;369020.0;20468.05789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.71466796616014;1.4068056374922988;0.0;0.0;37.84178825523266;0.0;0.0;0.0;336.6890763482766;335.40566778091295;0.051741354917909696;0.0;0.0;121241879.1263158;9967437714.770426;260.1564451456543;239.59029022625433;0.0;0.0;0.0018593441357743828;0.0;4849664522.426601;13580844502.230597;0.0;0.0;0.0;0.0;40266001909.48117;3927055548.811212;0.0;0.0;13414828.271851853;13414828.271851853
1960-03-01;424933.4224723083;336932.008583965;4.668125185185186;45.38628870822039;8898459.9818888;4527219.363296385;369010.5263157895;21920.257894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;241.95576896645608;1.4158363669458824;0.0;0.0;38.01346125042042;0.0;0.0;0.0;338.4153486125099;337.02726577077397;0.05181795080815261;0.0;0.0;121041125.84576175;9996747914.37427;264.99549687476497;240.28259919746637;0.0;0.0;0.0018597438271339506;0.0;4858660998.840233;13648919141.808123;0.0;0.0;0.0;0.0;40417182243.7334;3978501793.4065905;0.0;0.0;13429921.454814814;13429921.454814814
1960-04-01;424600.4863757046;336777.5434859232;4.66867888888889;45.44575972899727;8902668.962111022;4538096.4645556435;375752.1052631579;18987.694736842106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;243.196869966752;1.424867096399466;0.0;0.0;38.185134245608175;0.0;0.0;0.0;340.1416208767432;338.648863760635;0.05189454669839552;0.0;0.0;120840372.56520768;10026058113.978113;269.83454860387565;240.97490816867844;0.0;0.0;0.0018601435184935184;0.0;4867657475.253864;13716993781.385649;0.0;0.0;0.0;0.0;40568362577.98563;4029948038.001969;0.0;0.0;13445014.637777777;13445014.637777777
1960-05-01;424267.5502791009;336623.0783878814;4.669232592592594;45.50523074977414;8906877.942333246;4548973.565814903;379302.63157894736;17792.042105263157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;244.4379709670479;1.4338978258530497;0.0;0.0;38.35680724079594;0.0;0.0;0.0;341.8678931409765;340.270461750496;0.05197114258863844;0.0;0.0;120639619.28465362;10055368313.581957;274.6736003329863;241.66721713989048;0.0;0.0;0.0018605432098530864;0.0;4876653951.667496;13785068420.963175;0.0;0.0;0.0;0.0;40719542912.23786;4081394282.5973473;0.0;0.0;13460107.82074074;13460107.82074074
1960-06-01;423934.6141824972;336468.61328983953;4.669786296296298;45.56470177055102;8911086.922555469;4559850.6670741625;388462.63157894736;21960.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;245.67907196734384;1.4429285553066333;0.0;0.0;38.52848023598369;0.0;0.0;0.0;343.59416540520976;341.892059740357;0.052047738478881354;0.0;0.0;120438866.00409956;10084678513.1858;279.512652062097;242.35952611110253;0.0;0.0;0.0018609429012126544;0.0;4885650428.081127;13853143060.5407;0.0;0.0;0.0;0.0;40870723246.4901;4132840527.1927257;0.0;0.0;13475201.003703704;13475201.003703704
1960-07-01;423601.6780858935;336314.1481917977;4.670340000000001;45.624172791327894;8915295.90277769;4570727.768333422;386812.1052631579;20443.668421052633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;246.92017296763976;1.451959284760217;0.0;0.0;38.700153231171456;0.0;0.0;0.0;345.32043766944304;343.51365773021803;0.05212433436912427;0.0;0.0;120238112.72354549;10113988712.789644;284.35170379120774;243.05183508231457;0.0;0.0;0.0018613425925722222;0.0;4894646904.494759;13921217700.118229;0.0;0.0;0.0;0.0;41021903580.742325;4184286771.788104;0.0;0.0;13490294.186666667;13490294.186666667
1960-08-01;423268.74198928976;336159.6830937559;4.6708937037037055;45.68364381210477;8919504.882999912;4581604.8695926815;384737.36842105264;19533.205263157895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;248.16127396793567;1.4609900142138006;0.0;0.0;38.87182622635921;0.0;0.0;0.0;347.0467099336763;345.1352557200791;0.05220093025936718;0.0;0.0;120037359.44299144;10143298912.393488;289.1907555203184;243.7441440535266;0.0;0.0;0.00186174228393179;0.0;4903643380.90839;13989292339.695755;0.0;0.0;0.0;0.0;41173083914.99455;4235733016.3834825;0.0;0.0;13505387.369629629;13505387.369629629
1960-09-01;422935.80589268607;336005.21799571405;4.67144740740741;45.743114832881645;8923713.863222135;4592481.970851941;382051.05263157893;17449.678947368422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;249.4023749682316;1.4700207436673842;0.0;0.0;39.043499221546966;0.0;0.0;0.0;348.7729821979096;346.7568537099401;0.05227752614961009;0.0;0.0;119836606.16243738;10172609111.997332;294.0298072494291;244.43645302473865;0.0;0.0;0.001862141975291358;0.0;4912639857.3220215;14057366979.273281;0.0;0.0;0.0;0.0;41324264249.24679;4287179260.978861;0.0;0.0;13520480.552592592;13520480.552592592
1960-10-01;422602.8697960824;335850.75289767224;4.672001111111113;45.80258585365852;8927922.843444359;4603359.072111201;381485.7894736842;18618.57894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;250.64347596852753;1.4790514731209679;0.0;0.0;39.21517221673473;0.0;0.0;0.0;350.49925446214286;348.37845169980113;0.05235412203985301;0.0;0.0;119635852.88188332;10201919311.601175;298.8688589785398;245.1287619959507;0.0;0.0;0.001862541666650926;0.0;4921636333.735653;14125441618.850807;0.0;0.0;0.0;0.0;41475444583.49902;4338625505.57424;0.0;0.0;13535573.735555556;13535573.735555556
